display_name,username,user_description,user_id,followers_count,favourites_count,avatar,is_verified,following_count
bendadadotcom,Bendada.com,"Modern and trusted media publication in Africa. Focus: tech, startups and talent.",730795084053159937,6618,5119,https://pbs.twimg.com/profile_images/1609554706191245315/oHZgLlCW_normal.jpg,False,40
Rihanatsona,RIHANAT IS A LASHTECH🫶🏾,5’4|HOPELESS ROMANTIC ♑️|ISLAM🫶🏾|FEMINIST| I DO MISANDRY |MAIN CHARACTER|SELECTIVELY AVAILABLE|Advocate for CHILD PROTECTION 🫶🏾|🦄Nicki FOLLOWS| #PBD VENDOR,1314709975906873345,5910,470649,https://pbs.twimg.com/profile_images/1810013469581742081/yHDdbLPp_normal.jpg,False,1281
__khalid101,kHALID 🪐,NaCl{ed}. NSNV,4882730440,7730,34225,https://pbs.twimg.com/profile_images/1799505444496404480/vmN1kLTF_normal.jpg,False,5791
egbokavictory_,thatcanvapro,Creative designer with SR Canada. See my portfolio here: https://t.co/jhKpdrsRZl. Easiest means to reach me: 08140170078. WhatsApp.,838383229098946560,5355,40508,https://pbs.twimg.com/profile_images/1676691782589984773/q1IlcapU_normal.jpg,False,634
NisforNora,-,mostly pictures.,263100403,17734,10762,https://pbs.twimg.com/profile_images/1767709961172533248/thLExucO_normal.jpg,False,2900
DifferentKaro,Oghenekaro,"Joshua Oghenekaro Okwe, He/Him, Product Designer, World's Top 3% talent @Toptal.",180019073,10748,118322,https://pbs.twimg.com/profile_images/1793691836998995968/HQ6EV66c_normal.jpg,False,3824
iNspiritextra,iNspiritextra,"Unlock the world of Christian content! Inspiring sermons, uplifting music, & lots more! Follow our rural education initiative @RuralRaysAfrica DM for enquiries!",1129689823890026496,10046,12262,https://pbs.twimg.com/profile_images/1786682225674592256/0KcGVabH_normal.jpg,False,37
mzshakiraw,Omobolanle,,3108236619,1989,371729,https://pbs.twimg.com/profile_images/1617568867521380358/fuf2SaWM_normal.jpg,False,1383
Omojuwa,JJ. Omojuwa,Board @HFXForum,115628224,1223044,20655,https://pbs.twimg.com/profile_images/1516003951224762376/2QgGKuKT_normal.jpg,False,4974
BukolaAladesulu,Abọ́lájókòó,"Sociopreneur. Bridging the Youth-Skill-Opportunity gap in Africa. Building @upthrive_ng and @teenovation1. We are light, we won’t fade into darkness.",1214605449728843780,1917,17845,https://pbs.twimg.com/profile_images/1761077336298909696/lgD2UwIR_normal.jpg,False,705
Fortwin___,"Fortwin, The Product Baby🤍","Neurodivergent Product Manager•
Menace😚• Evil FEMINIST WITCH • 
Siren💜•
Cat 😺 Mom•
I sell eyeglasses @FramesandLenshq •
💕 @AwedaIdris 💜• PBD/0979",1406245017652502533,7769,172722,https://pbs.twimg.com/profile_images/1809658327183290368/HQqACudi_normal.jpg,False,4114
HuntellaDotNet,Laptops | MacBook | HP | DELL,the most trusted online gadget store established 2010 100000 satisfied customers cant be wrong. in doubt? fraction of sales data in public domain via https://t.co/wZrOGd44kI,94210183,91720,102956,https://pbs.twimg.com/profile_images/1799644756936663040/RgnTAZiM_normal.jpg,False,1
Louincossy,Billionaire Realtor,"Real Estate Consultant | digital marketer | Entrepreneur | Future billionaire | Recently Started a YT channel, check it out and let me know what you think.",200169173,1451,44078,https://pbs.twimg.com/profile_images/1564888956696772608/S7DMg9pw_normal.jpg,False,809
TrendingEx,Trending Explained,Ever wondered why something was trending? || We post the original reason a word is Trending. || Updated every 3/4hrs || Since 09/23 || DM for Ads & Collabs📩,1397355214580092932,45525,114,https://pbs.twimg.com/profile_images/1760052475485200385/NklY9346_normal.jpg,False,0
RofiatAdesina,Huntress Personal Shopper🛒🛍️,🏬SEEK AND YOU SHALL FIND STORE🏬 Professional Nurse🫧 Skilled writer🫧 Creative Designer 🫧 Personal Shopper🫧Fashion Stylist🫧 Contact 👇🏾,1072184395979767808,2303,35399,https://pbs.twimg.com/profile_images/1805949108072419328/mg4KmyJo_normal.jpg,False,1492
AkhankiMassef,Lady Promise of the house of Ogodogu,FEMINIST AS FUCK|Lash Tech| Dominant| Beta reader|Ghost writer. I love good looking people😘 | TOP RATED FREELANCER @upwork🧘‍♀️,1513507172134567936,1451,17922,https://pbs.twimg.com/profile_images/1811892848817586176/rulhZGWS_normal.jpg,False,1193
chuks_nadia,NNANYELUGO 🦅🇦🇫🇦🇫 🇦🇫,Introvert | back_up acc @chuks__nadia,1021704239524073472,29394,144698,https://pbs.twimg.com/profile_images/1767241755617902592/QH28qYmN_normal.jpg,False,25509
PiggyBankNG,PiggyVest,"Save, Invest and Grow your money with ease. Earn 8-17% on savings and up to 35% on investments. Download Piggyvest on iOS and Android. This is our ONLY page! ⚠️",4714760909,200265,7556,https://pbs.twimg.com/profile_images/1742154486989099010/Sc4jRFll_normal.jpg,False,21
lekkisolarcoltd,Lekki Solar Company LTD,"Bringing sustainable power to Nigeria and beyond! 🌞🌍 Specializing in the importation, sales, marketing, and installation of cutting-edge solar energy products",1640314718718967814,692,470,https://pbs.twimg.com/profile_images/1640318319227023361/8svHAacy_normal.jpg,False,513
whatsappblog9ja,WHATSAPPBLOG9JA↙️,"Entertainment 🤣 Celebrity gist, gossip 🤗😊, football ⚽news🌐and brand promotion. Follow up💙❤️
Get to know more on Whatsapp & Insta https://t.co/VAWFZ6ebRY",1380788055544631297,30914,72530,https://pbs.twimg.com/profile_images/1554390469764866048/5jc7dkTu_normal.jpg,False,5
kagetheactor,Raymond Umenze - Denrele Netflix,"An Actor That Likes To Party.
Denrele in @naijaonnetflix Far From Home. Kofo in @africamagictv Brethren. Instagram - @kagetheactor. 
Events - @safespaceparty.",239049566,10192,1536,https://pbs.twimg.com/profile_images/1755546994565578754/5SctkG9y_normal.jpg,False,69
kekere02,Aderinsola🦁👑💕❤️,I love Amala and visiting new places🤝February 17💕Agriculturist❤️@olamide and @davido no1 fan😀Diary of a food lover❤️..DM for ads and PR,1741394836689739777,19586,114079,https://pbs.twimg.com/profile_images/1797894957723725824/4x-0By7g_normal.jpg,False,15734
djyobams,YOBAMS.,"Pro DJ || Music Enthusiast 🇳🇬 
- Bookings & Enquiries : djyobams@gmail.com // +2349092448357",1001987264,3578,1322,https://pbs.twimg.com/profile_images/1685975203879264256/kndPQwQQ_normal.jpg,False,1870
Ray_cheal__,Ray 🫶🏾,Business Owner • Personal Shopper For Luxury  Wigs • Hair Revamping/Wig Stylist/Hair Colorist • Nationwide Delivery/ Pickup Available • Lash Extension Artist.,346042525,4804,161692,https://pbs.twimg.com/profile_images/1815267032406904832/pOBF8cRN_normal.jpg,False,1783
IbrahimHorlanr1,Horlanrewaju❤,An introvert 🤘❤......I'm an over thinker 🙂… Biggest Fan of @temsbaby,1241839139210829824,3300,52742,https://pbs.twimg.com/profile_images/1726375879146639360/RdpGzXQF_normal.jpg,False,4253
OmaliHopie,purple💜,Client retention- Banker in the trenches🤑-Twinnie👩‍❤️‍💋‍👩-,1153769697898352641,1069,7527,https://pbs.twimg.com/profile_images/1814644749963304960/zmGUzK3P_normal.jpg,False,1511
ekene_goodness,Ekene goodness.,"#Blessed, blaady gunner | Realtor® | @kapitalhomes, | certified diesel plug | 6'1 and growing.",1718164255,889,11154,https://pbs.twimg.com/profile_images/1675630845057433600/-bN2oKSb_normal.jpg,False,863
fkoutsourcing,Fort Knox Outsourcing,"Our Services include Recruitment, Outsourcing, Background Checks, Training, E-learning, Assessment testing, Payroll Management, and Performance Appraisal.",1166269340938887169,380,768,https://pbs.twimg.com/profile_images/1166612896706695168/WBQAjEPe_normal.png,False,503
TheAblebaee_,D_Laureate,"PharmD//Lifestyle,health,fashion creator/perfumes/FEMINIST / https://t.co/oP9nMEvU7z God is intentional with me🥰",1202493049336713216,75786,162399,https://pbs.twimg.com/profile_images/1817321966988124160/cObHmMhK_normal.jpg,False,5524
Nsukka_okpa,Oyiga Micheal,Problem Solver! Research Guide! SPSS Analyst! Digital Marketer! Political Geographer! Arsenal forever!StoryTeller! @sustainobles for the rural child,1017594419346903040,55371,98328,https://pbs.twimg.com/profile_images/1640084903306973190/tZHEfJfw_normal.jpg,False,15554
justinessien,El Jefe,"Proverbs 27:22. ManUtd ⚽️ Lakers 🏀 NE Patriots 🏈 | Adidas | Ex Agege Bread, Now Slice | Roman Catholic | Mamba Forever",80349795,3644,7288,https://pbs.twimg.com/profile_images/1756656227667300352/idO8Ikay_normal.jpg,False,1257
Daviowhite,Your Designer,Design @manafa_co — prev @tweeq ✨| Grab my UIUX & Brand identity course with link below,2524204959,96190,63433,https://pbs.twimg.com/profile_images/1709656694840569856/b9GkXW1-_normal.jpg,False,6756
DrAlemz,Dr. Alemz📸🇨🇦,"Portraits • Events Photographer • Purity Advocate • Serving @PowerPointtribe. If you bring love my way, I fit slap you. 🤲  Meanwhile, Jesus loves you. ❤️",1462099212515037186,7471,31764,https://pbs.twimg.com/profile_images/1783501455648808961/HovLYAWH_normal.jpg,False,3206
KingOpeOfAbj,King Ope of ABJ 🔥,A Broke Philanthropist | Agro Investor | Oraimo Ambassador | Crypto Investor | Real Estate | IG: KingOpeOfabj / Goodfoodinitiative,527918364,39682,40302,https://pbs.twimg.com/profile_images/1491826274830008325/6LyEEsrk_normal.jpg,False,13366
SexyDoyin1,Adedoyin🔥🧙‍♀️,Digital marketing|PM|Social media handler||PR|fashion👗lover of God|billionaire💵|Hodophile🍹| A @Manutd fan|🔴CR7 fan| WizkidFC🦅,1247806083042689026,11561,55842,https://pbs.twimg.com/profile_images/1672867685149884419/DzbwKk4h_normal.jpg,False,2025
japhetho,D’IPHONE BARON,No1 iphone plug / mini influencer/cruise and vibes king/DM FOR ADS AND PROMO/https://t.co/eN8sAmew3e 📞 08062994396,151594334,22138,193751,https://pbs.twimg.com/profile_images/1624850330541338628/Oc8xbDez_normal.jpg,False,14891
SemudaraAbayomi,"Bayomi, Tech & Startup Guy","Welcome, I share my opinion on Tech, Politics & News. Tech and Startup Guy.",1870845991,8457,157590,https://pbs.twimg.com/profile_images/1785544779738058752/JttplSER_normal.jpg,False,1466
Omabilibili,Shenkes 🧍‍♀️,Igbo babe. Connoisseur of fine people. Chop life advocate. Soft girl.,971408215102709760,2157,19621,https://pbs.twimg.com/profile_images/1796133284788711425/dB6-qyUB_normal.jpg,False,581
Mkaksy,Dr.Kaktus,Hooman!  🩺👩🏽‍⚕️,217610449,1698,1289,https://pbs.twimg.com/profile_images/1785665064130777088/wBhZChZo_normal.jpg,False,1177
Godwaynefaith_,🖤G. O. D. W. A. Y. N. E🖤,|| Crypto Enthusiast || Event Planner || Simple and Short♥️ Snapchat: https://t.co/bzgHeaZOLl,501807328,7960,41304,https://pbs.twimg.com/profile_images/1761295902335987712/Y6r86cis_normal.jpg,False,6429
